PG.ProteinGroups	role	pair_id	partner_PG	expected_log2fc	n_precursors_used	n_peptides_used
Q96JB1	up	70	O75493	1.6024079736289822	4	4
Q96QE2	up	10	P26639	1.5998012252760079	2	2
Q96RP7	down	89	P14780	-1.5966410090660403	5	5
Q99536	down	83	P04843	-1.6030050311552095	2	2
Q99584	up	102	Q13356	1.6040106778479508	2	2
Q9BT09	up	81	A0A075B7D8	1.5970096317884215	5	4
Q9BT88	down	39	P78357	-1.601045462081891	2	2
Q9BUJ0	down	91	O00299	-1.5965030660104222	8	7
Q9BWV1	up	58	P69891;P69892	1.5982644610437946	9	8
Q9BXS4	down	37	P62195	-1.6010118692826119	2	2
Q9GZP1	down	94	Q6UX15	-1.6037256572238245	2	2
Q9H251	up	82	Q12913	1.6029918869346433	12	12
Q9H3U7	up	14	Q9Y6Y9	1.5997124723777336	3	3
Q9H4G4	up	30	P01282	1.6008272310436586	4	4
Q9H8Y8	up	75	Q9NQS3	1.6027211045171903	2	2
Q9HD45	down	34	P07738	-1.6009391444345695	5	5
Q9HD89	down	87	Q8TB96	-1.596734610313093	2	2
Q9NPG1	down	55	Q10713	-1.598291735801836	2	2
Q9NQ76	down	64	Q15393	-1.598007211406828	2	2
Q9NQS3	down	75	Q9H8Y8	-1.6027211045171903	2	2
Q9NQX4	up	80	P30273	1.5970097747794263	2	2
Q9NS71	down	50	P06213	-1.6015295541410293	2	2
Q9NU53	up	41	A0A075B6R9;A0A0C4DH68	1.5987559655626002	4	4
Q9NWD8	down	90	Q6P4A8	-1.6034467550793776	2	2
Q9NWF9	down	100	O94973	-1.5961061346714152	2	2
Q9NWV4	up	0	Q9Y2C2	1.6000240815908673	3	3
Q9P035	up	106	P59998	1.6042928973920603	3	3
Q9P0L0	down	99	P01903	-1.6038777679235645	8	6
Q9P1F3	down	74	P27635	-1.597333387495425	2	2
Q9P2W7	up	108	Q5T4S7	1.5954903663017599	3	3
Q9UBV2	down	32	Q7Z794	-1.5991422560801274	4	4
Q9UF11	down	85	O14960	-1.6031474888655435	4	4
Q9UGN4	down	6	Q96DG6	-1.5998632080188662	2	2
Q9UHA4	down	46	Q8WVF2	-1.5985292912493594	2	2
Q9ULC0	up	88	P22090;P62701	1.5967108931740963	2	2
Q9UN67;Q9Y5E1	up	17	A0A0B4J1U3	1.5996606514680716	2	2
Q9Y266	up	76	O75347	1.6027509004048692	7	7
Q9Y2C2	down	0	Q9NWV4	-1.6000240815908673	3	3
Q9Y696	up	51	P07585	1.5984505353550578	15	12
Q9Y6D5;Q9Y6D6	up	95	P40818	1.5962521876883118	2	2
Q9Y6Y9	down	14	Q9H3U7	-1.5997124723777336	3	3
