Protein,Label
P01871,Negative
P01876,Negative
P01877,Negative
P01880,Negative
P01889,Negative
P01893,Negative
P01911,Negative
P02008,Negative
P02042,Negative
P02144,Negative
P02452,Negative
P02461,Negative
P02462,Negative
P02511,Negative
P02533,Negative
P02545,Negative
P02549,Negative
P02647,Negative
P02649,Negative
P02652,Negative
P02654,Negative
P02655,Negative
P02656,Negative
P02671,Negative
P02675,Negative
P02679,Negative
P02686,Negative
P02730,Negative
P02741,Negative
P02743,Negative
P02745,Negative
P02746,Negative
P02747,Negative
P02748,Negative
P02749,Negative
P02750,Negative
P02751,Negative
P02753,Negative
P02760,Negative
P02763,Negative
P02765,Negative
P02766,Negative
P02768,Negative
P02771,Negative
P02774,Negative
P02775,Negative
P02778,Negative
P02786,Negative
P02787,Negative
P02788,Negative
P02790,Negative
P02792,Negative
P02794,Negative
P02795;P13640;P80297,Negative
P03950,Negative
P03951,Negative
P03952,Negative
P03973,Negative
P04003,Negative
P04004,Negative
P04040,Negative
P04062,Negative
P04066,Negative
P04070,Negative
P04075,Negative
P04080,Negative
P04083,Negative
P04085,Negative
P04114,Negative
P04118,Negative
P04156,Negative
P04179,Negative
P04180,Negative
P04181,Negative
P04196,Negative
P04211,Negative
P04216,Negative
P04217,Negative
P04233,Negative
P04264,Negative
P04271,Negative
P04275,Negative
P04278,Negative
P04350,Negative
P04406,Negative
P04433,Negative
P04439,Negative
P04632,Negative
P04733,Negative
P04792,Negative
P04818,Negative
P04839,Negative
P04844,Negative
P04899,Negative
P05023,Negative
P05026,Negative
P05060,Negative
P05067,Negative
P05090,Negative
P05107,Negative
P05109,Negative
P05121,Negative
P05154,Negative
P05155,Negative
P05156,Negative
P05160,Negative
P05164,Negative
P05186,Negative
P05305,Negative
P05362,Negative
P05386,Negative
P05408,Negative
P05413,Negative
P05452,Negative
P05455,Negative
P05543,Negative
P05546,Negative
P05556,Negative
P05771,Negative
P05783,Negative
P05937,Negative
P05976,Negative
P05997,Negative
P06276,Negative
P06280,Negative
P06307,Negative
P06312,Negative
P06331,Negative
P06396,Negative
P06454,Negative
P06576,Negative
P06681,Negative
P06702,Negative
P06703,Negative
P06727,Negative
P06732,Negative
P06733,Negative
P06734,Negative
P06744,Negative
P06748,Negative
P06865,Negative
P07093,Negative
P07108,Negative
P07148,Negative
P07195,Negative
P07196,Negative
P07197,Negative
P07203,Negative
P07225,Negative
P07237,Negative
P07307,Negative
P07311,Negative
P07333,Negative
P07339,Negative
P07355,Negative
P07357,Negative
P07358,Negative
P07359,Negative
P07360,Negative
P07384,Negative
P07437,Negative
P07451,Negative
P07492,Negative
P07602,Negative
P07686,Negative
P07711,Negative
P07737,Negative
P07814,Negative
P07858,Negative
P07900,Negative
P07919,Negative
P07942,Negative
P07949,Negative
P07951,Negative
P07996,Negative
P07998,Negative
P08069,Negative
P08123,Negative
P08133,Negative
P08138,Negative
P08174,Negative
P08185,Negative
P08195,Negative
P08237,Negative
P08238,Negative
P08253,Negative
P08294,Negative
P08397,Negative
P08476,Negative
P08493,Negative
