Protein,Label
P55899,Negative
P56159,Negative
P56537,Negative
P56705,Negative
P56817,Negative
P56975,Negative
P57087,Negative
P58335,Negative
P58417,Negative
P58499,Negative
P59190,Negative
P59998,Negative
P60033,Negative
P60174,Negative
P60520,Negative
P60660,Negative
P60709;P63261,Negative
P60900,Negative
P60953,Negative
P60981,Negative
P60983,Negative
P61077,Negative
P61088,Negative
P61106,Negative
P61158,Negative
P61204;P84077,Negative
P61266,Negative
P61278,Negative
P61313,Negative
P61326;Q96A72,Negative
P61586,Negative
P61604,Negative
P61626,Negative
P61812,Negative
P61916,Negative
P61960,Negative
P61970,Negative
P62244,Negative
P62273,Negative
P62805,Negative
P62826,Negative
P62837,Negative
P62873,Negative
P62937,Negative
P62942,Negative
P62993,Negative
P63010,Negative
P63027,Negative
P63104,Negative
P63208,Negative
P63241,Negative
P63313,Negative
P68036,Negative
P68104,Negative
P68133,Negative
P68363,Negative
P68431;P84243;Q16695;Q71DI3,Negative
P68871,Negative
P69849;Q15155;Q5JPE7,Negative
P69891;P69892,Negative
P69905,Negative
P78310,Negative
P78333,Negative
P78371,Negative
P78417,Negative
P78504,Negative
P78509,Negative
P78539,Negative
P80188,Negative
P80303,Negative
P80723,Negative
P80748,Negative
P81605,Negative
P82987,Negative
P84157,Negative
P98095,Negative
P98153,Negative
P98155,Negative
P98160,Negative
P98164,Negative
P98172,Negative
P98173,Negative
P99999,Negative
Q00169,Negative
Q00610,Negative
Q00973,Negative
Q01082,Negative
Q01130,Negative
Q01151,Negative
Q01459,Negative
Q01469,Negative
Q01518,Negative
Q01973,Negative
Q01995,Negative
Q02246,Negative
Q02747,Negative
Q02790,Negative
Q02809,Negative
Q02818,Negative
Q02985,Negative
Q03167,Negative
Q03405,Negative
Q03468,Negative
Q03591,Negative
Q04721,Negative
Q04756,Negative
Q04760,Negative
Q04828,Negative
Q05193,Negative
Q05996,Negative
Q06033,Negative
Q06828,Negative
Q07092,Negative
Q07507,Negative
Q07666,Negative
Q07699,Negative
Q07954,Negative
Q08174,Negative
Q08345,Negative
Q08380,Negative
Q08397,Negative
Q08431,Negative
Q08554,Negative
Q08629,Negative
Q08945,Negative
Q08ET2,Negative
Q08J23,Negative
Q09328,Negative
Q09666,Negative
Q0P6D2,Negative
Q10469,Negative
Q10471,Negative
Q10472,Negative
Q10567,Negative
Q10588,Negative
Q10589,Negative
Q12794,Negative
Q12797,Negative
Q12805,Negative
Q12841,Negative
Q12860,Negative
Q12866,Negative
Q12907,Negative
Q12913,Negative
Q12982,Negative
Q13093,Negative
Q13103,Negative
Q13113,Negative
Q13201,Negative
Q13214,Negative
Q13217,Negative
Q13228,Negative
Q13231,Negative
Q13232,Negative
Q13275,Negative
Q13283,Negative
Q13308,Negative
Q13332,Negative
Q13356,Negative
Q13404,Negative
Q13421,Negative
Q13508,Negative
Q13510,Negative
Q13519,Negative
Q13554,Negative
Q13557,Negative
Q13634,Negative
Q13641,Negative
Q13642,Negative
Q13740,Negative
Q13790,Negative
Q13822,Negative
Q13838,Negative
Q13867,Negative
Q13873,Negative
Q14002,Negative
Q14019,Negative
Q14112,Negative
Q14114,Negative
Q14118,Negative
Q14126,Negative
Q14165,Negative
Q14213,Negative
Q14257,Negative
Q14314,Negative
Q14315,Negative
Q14393,Negative
Q14498,Negative
Q14515,Negative
Q14517,Negative
Q14520,Negative
Q14563,Negative
Q14574,Negative
Q14624,Negative
Q14696,Negative
Q14703,Negative
Q14766,Negative
Q14767,Negative
Q14847,Negative
Q14894,Negative
Q14956,Negative
Q14982,Negative
Q14C87,Negative
Q14CZ8,Negative
Q14DG7,Negative
Q15063,Negative
Q15084,Negative
Q15113,Negative
Q15121,Negative
Q15166,Negative
Q15223,Negative
Q15256,Negative
Q15262,Negative
Q15293,Negative
Q15303,Negative
Q15306,Negative
Q15375,Negative
Q15424,Negative
Q15459,Negative
Q15465,Negative
Q15582,Negative
Q15746,Negative
Q15768,Negative
Q15782,Negative
Q15818,Negative
Q15828,Negative
Q15846,Negative
Q15847,Negative
Q15848,Negative
Q15904,Negative
